2024-05-18 19:55:54.911 [info] Experiment 'pythonCreateEnvOnPipInstall' is active
2024-05-18 19:55:54.912 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-05-18 19:55:54.912 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-05-18 19:55:54.912 [info] Experiment 'pythonTestAdapter' is active
2024-05-18 19:55:54.912 [info] Default formatter is set to null for workspace /home/mi
2024-05-18 19:55:54.973 [info] > pyenv which python
2024-05-18 19:55:54.973 [info] cwd: .
2024-05-18 19:55:59.590 [info] > /usr/bin/python3 -I ./.vscode-server/extensions/ms-python.python-2024.6.0/python_files/get_output_via_markers.py ./.vscode-server/extensions/ms-python.python-2024.6.0/python_files/interpreterInfo.py
2024-05-18 19:55:59.778 [info] Python interpreter path: /usr/bin/python3
2024-05-18 19:56:02.874 [info] Starting Pylance language server.
2024-05-18 20:56:57.883 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/safe.py
2024-05-18 20:59:03.700 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/safe.py
2024-05-18 21:01:41.022 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/safe.py
2024-05-18 21:15:19.378 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
2024-05-18 21:17:13.039 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
2024-05-18 21:18:43.284 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/walktest.py
2024-05-18 21:19:04.254 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/walktest.py
2024-05-18 21:27:05.068 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/make_goal.py
2024-05-18 21:30:36.840 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/make_goal.py
2024-05-18 21:39:04.933 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/make_goal.py
2024-05-18 21:39:20.458 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/make_goal.py
2024-05-18 21:53:18.380 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/make_goal.py
2024-05-18 21:55:11.944 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/make_goal.py
2024-05-18 21:55:31.387 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/safe.py
2024-05-18 21:56:06.345 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/make_goal.py
2024-05-18 21:58:33.121 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/make_goal.py
2024-05-18 22:02:04.582 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:02:50.663 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:02:57.851 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:10:05.510 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:11:44.549 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/data_receive.py
2024-05-18 22:11:51.755 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:18:08.182 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:18:20.383 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:18:27.126 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:20:31.678 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:21:36.940 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:22:56.906 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:29:28.218 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:35:29.769 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:35:51.191 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:35:55.503 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:36:02.048 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 22:36:37.518 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:17:55.324 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:29:28.053 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:31:48.313 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:31:51.404 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:41:47.812 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:46:26.629 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:46:46.388 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:46:53.402 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:48:55.115 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_loc.py
2024-05-18 23:48:56.338 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:51:22.658 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:52:01.796 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:55:25.148 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:55:38.127 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:57:54.652 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:58:21.062 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-18 23:58:30.969 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-19 00:06:05.750 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-19 00:18:39.045 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/make_goal.py
2024-05-19 00:20:30.447 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-19 00:29:45.441 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-19 00:37:03.915 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/sensor_node.py
2024-05-19 00:44:50.995 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/sensor_node.py
2024-05-19 00:44:52.622 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/safe.py
2024-05-19 00:45:16.701 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/sensor_node.py
2024-05-19 00:45:59.252 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/sensor_node.py
2024-05-19 00:48:19.621 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/sensor_node.py
2024-05-19 00:49:45.373 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/sensor_node.py
