2024-05-22 23:02:04.013 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:02:26.754 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:03:49.205 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:07:36.935 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:07:42.439 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:10:36.195 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:12:07.550 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:16:09.113 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:16:10.214 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:18:36.671 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:22:00.647 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 23:22:23.799 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 23:23:56.675 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:24:18.784 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:24:33.975 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:27:10.247 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 23:30:50.254 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:33:37.541 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:34:11.303 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 23:34:44.495 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:52:23.731 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:52:25.827 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:52:27.910 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:52:29.789 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 23:54:14.656 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 23:54:58.889 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 23:55:05.611 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 23:56:36.907 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:57:22.699 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-22 23:57:24.039 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/rgb_cam_suber.py
2024-05-22 23:57:25.198 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-22 23:57:26.304 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-22 23:59:44.859 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-23 00:00:12.051 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-23 00:07:14.599 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-23 00:07:54.482 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-23 00:11:38.072 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-23 00:13:31.406 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-23 00:13:47.171 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-23 00:14:05.701 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-23 00:14:16.768 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/get_data.py
2024-05-23 00:20:41.563 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-23 00:24:34.482 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/main_node.py
2024-05-23 00:26:13.620 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-23 00:28:32.646 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-23 00:30:21.880 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-23 00:31:16.664 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-23 00:34:10.460 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-23 00:35:04.678 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/move_node.py
2024-05-23 00:38:38.155 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/test.py
2024-05-23 00:39:04.740 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/setup.py
2024-05-23 00:40:28.367 [info] Discover tests for workspace name: mi - uri: /home/mi/workplace/src/learning/learning/test.py
